Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2040,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,202,Afrique du Sud,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2899,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,3,Albanie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3360,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,4,Algérie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3322,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,79,Allemagne,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3554,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,7,Angola,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2385,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,8,Antigua-et-Barbuda,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2445,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,194,Arabie saoudite,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3307,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,9,Argentine,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3307,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,1,Arménie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2997,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,10,Australie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3391,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,11,Autriche,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3695,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,52,Azerbaïdjan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3149,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,12,Bahamas,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2655,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,16,Bangladesh,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2563,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,14,Barbade,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2956,Fc,Donnée calculée
