Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","55.52","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","84.37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","115.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.83","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.4","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","53.05","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.19","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.94","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","106.77","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","94.35","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.94","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","109.12","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","94.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.69","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","60.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","88.69","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.95","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","99.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.93","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","63.97","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","73.24","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","98.82","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.89","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","95.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","83.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","80.16","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","70.86","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.95","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.89","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","104.12","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.64","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","351","Chine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","96","Chine - RAS de Hong-Kong","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","128.53","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","128","Chine - RAS de Macao","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","109.47","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","41","Chine, continentale","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.66","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.67","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","72.92","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","58.16","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","82.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","57.61","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","90.6","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","84.89","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","117.08","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.08","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","97.52","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","77.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","110.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.96","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","107.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","62.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","113.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","238","Éthiopie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","66.33","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","185","Fédération de Russie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.4","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","66","Fidji","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.14","Fc","Donnée calculée"
