Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","34413.603","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55386.367","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2890.513","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","39728.025","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","81787.411","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","78.011","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","27884.381","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","14.279","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","93.566","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","269.936","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","31717.667","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","43075.416","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2925.553","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","104.341","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23932.502","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","8678.66","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9622.745","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","374.206","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1371.851","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","156256.276","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","285.324","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9439.423","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11287.94","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","360.933","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10575.952","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","63.692","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","727.876","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10869.73","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","24.57","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","3429.361","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2120.716","X","Sources internationales sûres",""
